sessionId,stepNumber,action,intent,originalSelector,resolvedSelector,resolvedBy,snapshotSource,icLookupMode,normalizedUrl,sourceNodeId,controlSignatureUsed,controlSignatureMissing,snapshotSizeBytes,icIsStable,matchedControlSignature,snapshotRejectedReason,bestScore,effectiveMatchCount,warningCodes
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,1,click,click_Signup_Login,text=Signup / Login,"a:has-text(""Signup / Login"")",deterministic-override,interaction-context-exact,exact_key_match,https://automationexercise.com/,bd8cf546-b031-41b0-9511-9879c6bf2935,4f283d60,false,32825,false,4f283d60,,0.96,1,deterministic-override
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,2,input,input_name,"input[name=""name""]","input[name=""name""]",kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/login,3cea6051-d207-46d4-a6b7-086d06a8ecbf,84b7293,false,4485,true,84b7293,,0.9,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,3,input,input_email,"input[name=""email""]","input[name=""email""]",kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/login,3cea6051-d207-46d4-a6b7-086d06a8ecbf,84b7293,false,4485,true,84b7293,,0.9,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,4,click,click_Signup,"button[type=""submit""]","button[data-qa=""signup-button""]",deterministic-override,url-event-fallback,url_fallback,https://automationexercise.com/login,d3707f86-403b-4ee9-aa00-1cd35813a60e,,true,4485,true,84b7293,,1.39,1,deterministic-override
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,5,input,input_title,#id_gender1,#id_gender1,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,6,input,input_password,#password,#password,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,7,input,input_Day_1_2_3_4_5_6_7_8_9_10_11_12,#days,#days,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,8,input,input_Day_1_2_3_4_5_6_7_8_9_10_11_12,#days,#days,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,9,input,input_Month_January_February_March_A,#months,#months,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,10,input,input_Month_January_February_March_A,#months,#months,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,11,input,input_Year_2021_2020_2019_2018_2017_,#years,#years,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,12,input,input_Year_2021_2020_2019_2018_2017_,#years,#years,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,13,input,input_newsletter,#newsletter,#newsletter,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,14,input,input_first_name,#first_name,#first_name,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,15,input,input_last_name,#last_name,#last_name,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,16,input,input_address1,#address1,#address1,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,17,input,input_state,#state,#state,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,18,input,input_city,#city,#city,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,19,input,input_zipcode,#zipcode,#zipcode,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,20,input,input_mobile_number,#mobile_number,#mobile_number,kept-original,event-local-pageState,exact_key_match,https://automationexercise.com/signup,c192deae-af00-4c7d-b534-4b3a6b9c44ed,263a2fdc,false,8739,true,263a2fdc,,0.95,1,
session-476c352d-4b49-4b7b-98f1-0a2d7ed85a67,21,click,click_Create_Account,"button[type=""submit""]","button[data-qa=""create-account""]",deterministic-override,interaction-context-stable-by-url,url_fallback,https://automationexercise.com/signup,91b9bbf9-11cf-46c0-a138-f7faafc48479,,true,8739,true,263a2fdc,,1.31,1,deterministic-override
